template_name,selection_fields
Arabic-1,23
Arabic-2,0
Arabic-3,27
Arabic-4,8
Arabic-5,15
Arabic-6,19
Arabic-7,10
Arabic-8,0
de_1,6
de_2,4
en_1,0
en_10,8
en_11,35
en_12,14
en_13,16
en_14,30
en_15,19
en_16,6
en_17,8
en_18,4
en_19,6
en_2,0
en_3,4
en_4,8
en_5,3
en_6,25
en_7,13
en_8,29
en_9,16
es_1,19
es_2,12
es_3,49
ja_1,0
ja_10,25
ja_11,31
ja_12,50
ja_13,17
ja_14,57
ja_15,37
ja_16,36
ja_17,69
ja_18,7
ja_19,11
ja_2,6
ja_20,20
ja_21,15
ja_22,20
ja_3,12
ja_4,3
ja_5,16
ja_6,4
ja_7,7
ja_8,42
ja_9,24
pt_1,15
pt_2,17
pt_3,29
zn_1,25
zn_10,29
zn_11,20
zn_2,6
zn_3,69
zn_4,20
zn_5,25
zn_6,5
zn_7,34
zn_8,14
zn_9,37
zn_en_1,23
zn_en_2,19
