template_name,repository_template,split,difficulty_level,difficulty_name,D_main,S_form,C_context,instances
Arabic-1,ar_1,train,L3,Hard,0.9685,0.5114,0.4571,100
Arabic-2,ar_2,test,L2,Medium,0.7125,0.2629,0.4496,100
Arabic-3,ar_3,train,L3,Hard,0.9635,0.5114,0.4521,100
Arabic-4,ar_4,val,L3,Hard,0.9157,0.4586,0.4571,100
Arabic-5,ar_5,val,L3,Hard,0.8317,0.3771,0.4546,100
Arabic-6,ar_6,val,L4,Expert,1.0485,0.6314,0.4171,100
Arabic-7,ar_7,test,L3,Hard,0.8532,0.3986,0.4546,100
Arabic-8,ar_8,train,L3,Hard,0.8366,0.5443,0.2923,100
de_1,de_1,val,L1,Easy,0.6242,0.2971,0.3271,100
de_2,de_2,test,L2,Medium,0.7276,0.4643,0.2633,100
en_1,en_1,val,L1,Easy,0.665,0.3429,0.3221,100
en_10,en_10,val,L4,Expert,1.1114,0.7171,0.3943,100
en_11,en_11,val,L2,Medium,0.7744,0.7457,0.0287,100
en_12,en_12,train,L1,Easy,0.6316,0.5714,0.0602,100
en_13,en_13,train,L4,Expert,1.1171,0.75,0.3671,100
en_14,en_14,train,L1,Easy,0.6794,0.3786,0.3008,100
en_15,en_15,test,L3,Hard,1.005,0.6414,0.3636,100
en_16,en_16,train,L2,Medium,0.7428,0.3857,0.3571,100
en_17,en_17,train,L2,Medium,0.7785,0.4214,0.3571,100
en_18,en_18,train,L2,Medium,0.7314,0.4043,0.3271,100
en_19,en_19,train,L1,Easy,0.4945,0.2643,0.2302,100
en_2,en_2,val,L2,Medium,0.7964,0.6243,0.1721,100
en_3,en_3,train,L1,Easy,0.6342,0.5071,0.1271,100
en_4,en_4,train,L3,Hard,0.9327,0.7529,0.1798,100
en_5,en_5,test,L4,Expert,1.0615,0.6829,0.3786,100
en_6,en_6,train,L4,Expert,1.24,0.8829,0.3571,100
en_7,en_7,test,L3,Hard,0.8467,0.4771,0.3696,100
en_8,en_8,train,L3,Hard,0.9862,0.6729,0.3133,100
en_9,en_9,test,L3,Hard,0.96,0.5514,0.4086,100
es_1,es_1,val,L2,Medium,0.6967,0.3771,0.3196,100
es_2,es_2,train,L1,Easy,0.4933,0.2271,0.2662,100
es_3,es_3,train,L3,Hard,0.911,0.5814,0.3296,100
ja_1,ja_1,train,L4,Expert,1.1039,0.72,0.3839,100
ja_10,ja_10,train,L2,Medium,0.7147,0.4114,0.3033,100
ja_11,ja_11,train,L3,Hard,1.0261,0.78,0.2461,100
ja_12,ja_12,train,L1,Easy,0.6833,0.42,0.2633,100
ja_13,ja_13,train,L2,Medium,0.7385,0.4114,0.3271,100
ja_14,ja_14,train,L4,Expert,1.0507,0.6786,0.3721,100
ja_15,ja_15,train,L3,Hard,1.024,0.7057,0.3183,100
ja_16,ja_16,train,L1,Easy,0.6579,0.3571,0.3008,100
ja_17,ja_17,train,L3,Hard,0.9992,0.6271,0.3721,100
ja_18,ja_18,train,L2,Medium,0.6932,0.3286,0.3646,100
ja_19,ja_19,train,L2,Medium,0.7232,0.3586,0.3646,100
ja_2,ja_2,train,L2,Medium,0.781,0.3971,0.3839,100
ja_20,ja_20,test,L2,Medium,0.7247,0.4514,0.2733,100
ja_21,ja_21,train,L2,Medium,0.7533,0.4771,0.2762,100
ja_22,ja_22,train,L2,Medium,0.7358,0.4571,0.2787,100
ja_3,ja_3,train,L2,Medium,0.7842,0.6271,0.1571,100
ja_4,ja_4,train,L2,Medium,0.8147,0.3186,0.4961,100
ja_5,ja_5,train,L3,Hard,0.8317,0.4671,0.3646,100
ja_6,ja_6,test,L2,Medium,0.7668,0.3557,0.4111,100
ja_7,ja_7,train,L1,Easy,0.6547,0.3914,0.2633,100
ja_8,ja_8,train,L2,Medium,0.759,0.4957,0.2633,100
ja_9,ja_9,train,L3,Hard,0.9454,0.5443,0.4011,100
pt_1,pt_1,train,L3,Hard,0.875,0.5114,0.3636,100
pt_2,pt_2,test,L1,Easy,0.6651,0.3643,0.3008,100
pt_3,pt_3,train,L4,Expert,1.0647,0.6729,0.3918,100
zn_1,zh-Hans_1,train,L3,Hard,0.9742,0.6171,0.3571,100
zn_10,zh-Hans_10,train,L2,Medium,0.6999,0.4543,0.2456,100
zn_11,zh-Hant_11,train,L3,Hard,0.9528,0.5957,0.3571,100
zn_2,zh-Hans_2,train,L3,Hard,0.8325,0.5129,0.3196,100
zn_3,zh-Hans_3,train,L4,Expert,1.2582,0.8986,0.3596,100
zn_4,zh-Hans_4,test,L4,Expert,1.0536,0.69,0.3636,100
zn_5,zh-Hans_5,train,L4,Expert,1.1797,0.8729,0.3068,100
zn_6,zh-Hans_6,train,L3,Hard,0.8293,0.4657,0.3636,100
zn_7,zh-Hans_7,train,L3,Hard,0.8433,0.58,0.2633,100
zn_8,zh-Hans_8,val,L3,Hard,0.9142,0.5571,0.3571,100
zn_9,zh-Hans_9,train,L2,Medium,0.695,0.4929,0.2021,100
zn_en_1,zh-Hant_en_1,train,L2,Medium,0.7862,0.5229,0.2633,100
zn_en_2,zh-Hant_en_2,train,L2,Medium,0.7744,0.4586,0.3158,100
